continent,location,date,population,highest_infection_count,per_pop_infected
Europe,Andorra,2021-04-30,77265,13232,17.125477253607713
Europe,Andorra,2021-04-29,77265,13198,17.08147285316767
Europe,Andorra,2021-04-28,77265,13148,17.01676049957937
Europe,Andorra,2021-04-27,77265,13121,16.98181582864169
Europe,Andorra,2021-04-26,77265,13083,16.93263443991458
Europe,Andorra,2021-04-25,77265,13060,16.90286675726396
Europe,Andorra,2021-04-24,77265,13024,16.856273862680386
Europe,Andorra,2021-04-23,77265,13007,16.834271662460367
Europe,Andorra,2021-04-22,77265,12942,16.750145602795573
Europe,Andorra,2021-04-21,77265,12917,16.717789426001424
Europe,Andorra,2021-04-20,77265,12874,16.662136801915487
Europe,Andorra,2021-04-19,77265,12805,16.572833753963632
Europe,Andorra,2021-04-18,77265,12805,16.572833753963632
Europe,Andorra,2021-04-17,77265,12771,16.528829353523587
Europe,Andorra,2021-04-16,77265,12712,16.452468776289393
Europe,Andorra,2021-04-15,77265,12641,16.360577234194007
Europe,Andorra,2021-04-14,77265,12641,16.360577234194007
Europe,Andorra,2021-04-13,77265,12614,16.325632563256328
Europe,Andorra,2021-12-04,77265,12581,16.282922409888048
Europe,Andorra,2021-11-04,77265,12545,16.23632951530447
Europe,Andorra,2021-10-04,77265,12497,16.1742056558597
Europe,Andorra,2021-09-04,77265,12456,16.1211415259173
Europe,Andorra,2021-08-04,77265,12409,16.060311913544297
Europe,Andorra,2021-07-04,77265,12363,16.00077654824306
Europe,Andorra,2021-06-04,77265,12328,15.95547790073125
Europe,Andorra,2021-05-04,77265,12286,15.901119523717078
Europe,Andorra,2021-04-04,77265,12231,15.829935934769948
Europe,Andorra,2021-03-04,77265,12174,15.756163851679286
Europe,Andorra,2021-02-04,77265,12115,15.679803274445092
Europe,Andorra,2021-01-04,77265,12053,15.599559955995598
Europe,Andorra,2021-03-31,77265,12010,15.543907331909661
Europe,Montenegro,2021-04-30,628062,97389,15.506271673815641
Europe,Montenegro,2021-04-29,628062,97257,15.485254640465431
Europe,Andorra,2021-03-30,77265,11944,15.458487025173106
Europe,Montenegro,2021-04-28,628062,97080,15.457072709382194
Europe,Montenegro,2021-04-27,628062,96930,15.433189716938772
Europe,Montenegro,2021-04-26,628062,96779,15.409147504545729
Europe,Montenegro,2021-04-25,628062,96660,15.390200330540615
Europe,Andorra,2021-03-29,77265,11888,15.38600918915421
Europe,Montenegro,2021-04-24,628062,96499,15.364565918651344
Europe,Montenegro,2021-04-23,628062,96348,15.340523706258299
Europe,Andorra,2021-03-28,77265,11850,15.336827800427102
Europe,Montenegro,2021-04-22,628062,96187,15.314889294369028
Europe,Montenegro,2021-04-21,628062,96048,15.292757721371459
Europe,Andorra,2021-03-27,77265,11809,15.283763670484696
Europe,Montenegro,2021-04-20,628062,95894,15.268237849129546
Europe,Montenegro,2021-04-19,628062,95695,15.236553079154605
Europe,Czechia,2021-04-30,10708982,1630758,15.22794603632726
Europe,Montenegro,2021-04-18,628062,95551,15.213625406408921
Europe,Czechia,2021-04-29,10708982,1628536,15.207197098659798
Europe,Montenegro,2021-04-17,628062,95377,15.185921135174551
Europe,Andorra,2021-03-26,77265,11732,15.184106645958714
Europe,Czechia,2021-04-28,10708982,1626033,15.183824195427725
Europe,Montenegro,2021-04-16,628062,95205,15.158535303839429
Europe,Czechia,2021-04-27,10708982,1622777,15.153419811518967
Europe,Montenegro,2021-04-15,628062,95042,15.132582452050913
Europe,Czechia,2021-04-26,10708982,1620206,15.129411927296172
Europe,Andorra,2021-03-25,77265,11687,15.125865527729243
Europe,Czechia,2021-04-25,10708982,1619383,15.121726789717268
Europe,Czechia,2021-04-24,10708982,1618068,15.109447377911364
Europe,Montenegro,2021-04-14,628062,94859,15.103445201269938
Europe,Czechia,2021-04-23,10708982,1615461,15.085103327281715
Europe,Montenegro,2021-04-13,628062,94643,15.069053692151414
Europe,Andorra,2021-03-24,77265,11638,15.06244742121271
Europe,Czechia,2021-04-22,10708982,1612832,15.060553841625657
Europe,Montenegro,2021-12-04,628062,94419,15.033388423435904
Europe,Czechia,2021-04-21,10708982,1609861,15.032810775104489
Europe,Montenegro,2021-11-04,628062,94269,15.009505430992482
